; Samples 30000, Items 6, SampleRate 1
; Item#:   0   0   1   1   7   7 
; Index:   0   1   0   1   0   1 
; PosFbk#00[0] PosFbk#01[0] PosCmd#00[0] PosCmd#01[0] CurFbk#00[0] CurFbk#01[0] 
39877517.2500000000 56445083.2500000000 39877487.0781397000 56445055.3604584040 -0.0649343655 0.4457916319 
39876827.8750000000 56447788.6250000000 39876807.2466174140 56447753.8785475570 -0.0239146389 0.2852588594 
39876121.5000000000 56450595.2500000000 39876106.4791825940 56450535.4994891510 0.0162420999 0.0238027275 
39875422.3750000000 56453430.6250000000 39875399.0486345960 56453343.5689416680 -0.0042807418 -0.3178554177 
39874731.7500000000 56456221.8750000000 39874699.5020444100 56456120.3438718390 0.0162467062 -0.6802421808 
39874063.0000000000 56458902.1250000000 39874022.0619581420 56458809.3694129960 0.0358588211 -0.9015409946 
39873422.2500000000 56461430.7500000000 39873380.0409588140 56461357.8026990370 0.0564010255 -1.1035341024 
39872814.7500000000 56463772.8750000000 39872785.2936846990 56463718.5880187300 0.0974989384 -1.3039908409 
39872263.7500000000 56465904.2500000000 39872247.7288605350 56465852.3937552050 0.1161467135 -1.4851628542 
39871775.8750000000 56467762.3750000000 39871774.9014278350 56467729.2313809470 0.1367032230 -1.5894558430 
39871358.1250000000 56469347.5000000000 39871371.7015631650 56469329.6898661550 0.1367028356 -1.6070210934 
39871013.6250000000 56470635.6250000000 39871040.1533853640 56470645.7346888560 0.1367025226 -1.5669382811 
39870747.5000000000 56471666.3750000000 39870779.3316373830 56471681.0385574100 0.1367022693 -1.5268571377 
39870556.3750000000 56472441.3750000000 39870585.3997723010 56472450.8302319870 0.1171209216 -1.4676135778 
39870431.6250000000 56472983.3750000000 39870451.7678759770 56472981.2676678670 0.0554136112 -1.3265044689 
39870344.0000000000 56473316.7500000000 39870369.3639255540 56473308.3612837790 0.0358329266 -1.0843360424 
39870287.3750000000 56473482.8750000000 39870327.0072183240 56473476.4916762490 0.0162613001 -0.8630843163 
39870254.8750000000 56473532.8750000000 39870311.8685994670 56473536.5827951510 0.0162614062 -0.5808531046 
39870244.5000000000 56473528.1250000000 39870309.9999999780 56473543.9999997990 0.0162614398 -0.3386850655 
39870247.7500000000 56473497.0000000000 39870310.0000000000 56473544.0000000000 -0.0033130744 -0.2184792161 
39870245.2500000000 56473471.7500000000 39870310.0000000000 56473544.0000000000 -0.0043097017 -0.1766553372 
39870251.7500000000 56473458.2500000000 39870310.0000000000 56473544.0000000000 -0.0043096649 -0.1574959457 
39870252.1250000000 56473459.5000000000 39870310.0000000000 56473544.0000000000 0.0162614137 -0.1574959606 
39870252.8750000000 56473471.0000000000 39870310.0000000000 56473544.0000000000 0.0162614118 -0.1766553372 
39870257.5000000000 56473490.5000000000 39870310.0000000000 56473544.0000000000 0.0162613951 -0.1975634396 
39870263.7500000000 56473497.7500000000 39870310.0000000000 56473544.0000000000 -0.0846047327 -0.1365877837 
39870243.5000000000 56473521.8750000000 39870288.5200127290 56473565.4799870480 -0.2246195823 0.2449409962 
39870123.1250000000 56473624.8750000000 39870149.6546466870 56473704.3453530820 -0.4469239116 0.7902570963 
39869818.3750000000 56473903.0000000000 39869828.0154006560 56474025.9845991210 -0.4067814648 0.8703945875 
39869366.1250000000 56474382.0000000000 39869339.1750580820 56474514.8249416950 -0.2246091962 0.5289428830 
39868828.1250000000 56474987.1250000000 39868772.7910000090 56475081.2089997680 -0.0238775276 0.0027526896 
39868280.8750000000 56475586.2500000000 39868253.7521631050 56475600.2478366640 0.2972743511 -0.8595050573 
39867873.6250000000 56476016.1250000000 39867886.3391288590 56475967.6608709170 0.4784319997 -1.1244029999 
39867688.5000000000 56476263.2500000000 39867705.2390586210 56476148.7609411550 0.3178601265 -1.0042216778 
39867657.0000000000 56476366.7500000000 39867659.4969925950 56476194.5030071880 0.1768406928 -0.5808680058 
